"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda","n"
0.8,0,0.808125,0.00200950231241666,0.8,50,0.05,1.95,3
0.8,1,0.817274305555556,0.00161018679760776,0.8,50,0.05,1.95,3
0.2,0,0,0,0.8,50,0.05,1.95,4
0.2,1,0.0492361111111111,0.00180306774706074,0.8,50,0.05,1.95,4
0.8,0,0.804479166666667,0.00202392289596182,0.8,50,0.05,1.95,4
0.8,1,0.813489583333333,0.00162300580248013,0.8,50,0.05,1.95,4
0.2,0,0,0,0.8,50,0.1,1.95,0
0.2,1,0.0996527777777778,0.0024962239927034,0.8,50,0.1,1.95,0
0.8,0,0.804010416666667,0.00202575712601392,0.8,50,0.1,1.95,0
0.8,1,0.822204861111111,0.00159309798992826,0.8,50,0.1,1.95,0
0.2,0,0,0,0.8,50,0.1,1.95,1
0.2,1,0.101527777777778,0.00251697326045918,0.8,50,0.1,1.95,1
0.8,0,0.806640625,0.00201540673213499,0.8,50,0.1,1.95,1
0.8,1,0.824322916666667,0.00158561874485053,0.8,50,0.1,1.95,1
0.2,0,0,0,0.8,50,0.1,1.95,3
0.2,1,0.0997222222222222,0.00249699730249505,0.8,50,0.1,1.95,3
0.8,0,0.803958333333333,0.0020259606524963,0.8,50,0.1,1.95,3
0.8,1,0.826197916666667,0.00157892704961397,0.8,50,0.1,1.95,3
0.2,0,0,0,0.8,50,0.1,1.95,4
0.2,1,0.0976388888888889,0.00247363395424811,0.8,50,0.1,1.95,4
0.8,0,0.808463541666667,0.00200814925759481,0.8,50,0.1,1.95,4
0.8,1,0.825017361111111,0.00158314813244921,0.8,50,0.1,1.95,4
0.2,0,0,0,0.8,50,0.2,1.95,0
0.2,1,0.195902777777778,0.00330756518605652,0.8,50,0.2,1.95,0
0.8,0,0.806692708333333,0.00201520033438283,0.8,50,0.2,1.95,0
0.8,1,0.843420138888889,0.00151419728573286,0.8,50,0.2,1.95,0
0.2,0,0,0,0.8,50,0.2,1.95,1
0.2,1,0.196944444444444,0.00331419835033907,0.8,50,0.2,1.95,1
0.8,0,0.807473958333333,0.00201209761429952,0.8,50,0.2,1.95,1
0.8,1,0.840920138888889,0.0015239738202459,0.8,50,0.2,1.95,1
0.2,0,0,0,0.8,50,0.2,1.95,3
0.2,1,0.197083333333333,0.00331508005194221,0.8,50,0.2,1.95,3
0.8,0,0.809010416666667,0.00200595848259088,0.8,50,0.2,1.95,3
0.8,1,0.844791666666667,0.0015087763104305,0.8,50,0.2,1.95,3
0.2,0,0,0,0.8,50,0.2,1.95,4
0.2,1,0.201944444444444,0.00334554096322011,0.8,50,0.2,1.95,4
0.8,0,0.803880208333333,0.00202626583851857,0.8,50,0.2,1.95,4
0.8,1,0.847829861111111,0.00149662019457032,0.8,50,0.2,1.95,4
0.2,0,0.5034375,0.00510324882981388,1,0,0.05,1,0
0.2,1,0.526944444444444,0.0041607567154474,1,0,0.05,1,0
0.8,0,0.501666666666667,0.00255157086386716,1,0,0.05,1,0
0.8,1,0.52453125,0.0020808424595931,1,0,0.05,1,0
0.2,0,0.498125,0.00510333355501959,1,0,0.05,1,1
0.2,1,0.531458333333333,0.00415855599647569,1,0,0.05,1,1
0.8,0,0.500234375,0.00255158475905346,1,0,0.05,1,1
0.8,1,0.528038194444444,0.00208007322569473,1,0,0.05,1,1
0.2,0,0.499270833333333,0.00510336401144919,1,0,0.05,1,3
0.2,1,0.536111111111111,0.0041559299952702,1,0,0.05,1,3
0.8,0,0.501979166666667,0.00255156504966962,1,0,0.05,1,3
0.8,1,0.52171875,0.00208138503925487,1,0,0.05,1,3
0.2,0,0.497916666666667,0.0051033251379379,1,0,0.05,1,4
0.2,1,0.529930555555556,0.00415933907297832,1,0,0.05,1,4
0.8,0,0.50265625,0.0025515490328712,1,0,0.05,1,4
0.8,1,0.524861111111111,0.00208077449012715,1,0,0.05,1,4
0.2,0,0.501770833333333,0.00510333743130255,1,0,0.1,1,0
0.2,1,0.554027777777778,0.00414241407426775,1,0,0.1,1,0
0.8,0,0.50078125,0.00255158192464925,1,0,0.1,1,0
0.8,1,0.547847222222222,0.00207379041021291,1,0,0.1,1,0
0.2,0,0.502604166666667,0.00510330021886467,1,0,0.1,1,1
0.2,1,0.55625,0.00414035928455595,1,0,0.1,1,1
0.8,0,0.500442708333333,0.00255158403920507,1,0,0.1,1,1
0.8,1,0.553732638888889,0.00207128639303405,1,0,0.1,1,1
0.2,0,0.498125,0.00510333355501959,1,0,0.1,1,3
0.2,1,0.546319444444444,0.004148893111927,1,0,0.1,1,3
0.8,0,0.500703125,0.00255158251644819,1,0,0.1,1,3
0.8,1,0.548854166666667,0.00207338277555028,1,0,0.1,1,3
0.2,0,0.50375,0.00510322590392818,1,0,0.1,1,4
0.2,1,0.546388888888889,0.00414883922734377,1,0,0.1,1,4
0.8,0,0.498854166666667,0.00255157833924454,1,0,0.1,1,4
0.8,1,0.547986111111111,0.00207373469418709,1,0,0.1,1,4
0.2,0,0.50125,0.0051033534901577,1,0,0.2,1,0
0.2,1,0.597986111111111,0.00408601457501707,1,0,0.2,1,0
0.8,0,0.50203125,0.00255156398373197,1,0,0.2,1,0
0.8,1,0.596649305555556,0.00204405935440853,1,0,0.2,1,0
0.2,0,0.500208333333333,0.00510336899521127,1,0,0.2,1,1
0.2,1,0.604375,0.00407501248380623,1,0,0.2,1,1
0.8,0,0.502890625,0.00255154239839867,1,0,0.2,1,1
0.8,1,0.599861111111111,0.0020413772146374,1,0,0.2,1,1
0.2,0,0.5084375,0.00510264275438094,1,0,0.2,1,3
0.2,1,0.596666666666667,0.00408819666937265,1,0,0.2,1,3
0.8,0,0.501067708333333,0.00255157922175292,1,0,0.2,1,3
0.8,1,0.604965277777778,0.00203692663852908,1,0,0.2,1,3
0.2,0,0.503125,0.00510326976205436,1,0,0.2,1,4
0.2,1,0.605486111111111,0.00407302499766661,1,0,0.2,1,4
0.8,0,0.499973958333333,0.00255158503591817,1,0,0.2,1,4
0.8,1,0.600416666666667,0.00204090401718806,1,0,0.2,1,4
